filename,plate.pos,arb.sort,sampID,sample.type,timepoint,date,time,extractplate,rnaprepplate
A2534491401_n01_LICRNA05_A01,A01,1,LIC673,plant,c2_t07,3/2/24,20:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_B01,B01,2,LIC674,plant,c2_t07,3/2/24,20:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_C01,C01,3,LIC675,plant,c2_t07,3/2/24,20:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_D01,D01,4,LIC676,plant,c2_t07,3/2/24,20:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_E01,E01,5,LIC677,plant,c2_t07,3/2/24,20:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_F01,F01,6,LIC678,plant,c2_t07,3/2/24,20:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_G01,G01,7,LIC679,plant,c2_t07,3/2/24,20:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_H01,H01,8,LIC680,plant,c2_t07,3/2/24,20:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_A02,A02,9,LIC685,plant,c2_t08,3/3/24,0:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_B02,B02,10,LIC686,plant,c2_t08,3/3/24,0:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_C02,C02,11,LIC687,plant,c2_t08,3/3/24,0:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_D02,D02,12,LIC688,plant,c2_t08,3/3/24,0:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_E02,E02,13,LIC689,plant,c2_t08,3/3/24,0:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_F02,F02,14,LIC690,plant,c2_t08,3/3/24,0:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_G02,G02,15,LIC691,plant,c2_t08,3/3/24,0:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_H02,H02,16,LIC692,plant,c2_t08,3/3/24,0:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_A03,A03,17,LIC697,plant,c2_t09,3/3/24,4:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_B03,B03,18,LIC698,plant,c2_t09,3/3/24,4:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_C03,C03,19,LIC699,plant,c2_t09,3/3/24,4:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_D03,D03,20,LIC700,plant,c2_t09,3/3/24,4:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_E03,E03,21,LIC701,plant,c2_t09,3/3/24,4:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_F03,F03,22,LIC702,plant,c2_t09,3/3/24,4:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_G03,G03,23,LIC703,plant,c2_t09,3/3/24,4:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_H03,H03,24,LIC704,plant,c2_t09,3/3/24,4:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_A04,A04,25,LIC709,plant,c2_t10,3/3/24,8:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_B04,B04,26,LIC710,plant,c2_t10,3/3/24,8:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_C04,C04,27,LIC711,plant,c2_t10,3/3/24,8:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_D04,D04,28,LIC712,plant,c2_t10,3/3/24,8:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_E04,E04,29,LIC713,plant,c2_t10,3/3/24,8:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_F04,F04,30,LIC714,plant,c2_t10,3/3/24,8:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_G04,G04,31,LIC715,plant,c2_t10,3/3/24,8:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_H04,H04,32,LIC716,plant,c2_t10,3/3/24,8:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_A05,A05,33,LIC721,plant,c2_t11,3/3/24,12:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_B05,B05,34,LIC722,plant,c2_t11,3/3/24,12:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_C05,C05,35,LIC723,plant,c2_t11,3/3/24,12:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_D05,D05,36,LIC724,plant,c2_t11,3/3/24,12:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_E05,E05,37,LIC725,plant,c2_t11,3/3/24,12:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_F05,F05,38,LIC726,plant,c2_t11,3/3/24,12:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_G05,G05,39,LIC727,plant,c2_t11,3/3/24,12:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_H05,H05,40,LIC728,plant,c2_t11,3/3/24,12:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_A06,A06,41,LIC733,plant,c2_t12,3/3/24,16:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_B06,B06,42,LIC734,plant,c2_t12,3/3/24,16:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_C06,C06,43,LIC735,plant,c2_t12,3/3/24,16:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_D06,D06,44,LIC736,plant,c2_t12,3/3/24,16:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_E06,E06,45,LIC737,plant,c2_t12,3/3/24,16:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_F06,F06,46,LIC738,plant,c2_t12,3/3/24,16:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_G06,G06,47,LIC739,plant,c2_t12,3/3/24,16:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_H06,H06,48,LIC740,plant,c2_t12,3/3/24,16:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_A07,A07,49,LIC745,plant,c2_t13,3/3/24,20:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_B07,B07,50,LIC746,plant,c2_t13,3/3/24,20:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_C07,C07,51,LIC747,plant,c2_t13,3/3/24,20:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_D07,D07,52,LIC748,plant,c2_t13,3/3/24,20:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_E07,E07,53,LIC749,plant,c2_t13,3/3/24,20:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_F07,F07,54,LIC750,plant,c2_t13,3/3/24,20:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_G07,G07,55,LIC751,plant,c2_t13,3/3/24,20:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_H07,H07,56,LIC752,plant,c2_t13,3/3/24,20:00,LICCIRC_04,LICRNA_05
A2534491401_n01_LICRNA05_A08,A08,57,LIC061,plant,t06,11/28/23,8:00,LIC_01,LICRNA_05
A2534491401_n01_LICRNA05_B08,B08,58,LIC097,plant,t09,12/8/23,8:00,LIC_02,LICRNA_05
A2534491401_n01_LICRNA05_C08,C08,59,LIC135,plant,t12,1/5/24,8:00,LIC_02,LICRNA_05
A2534491401_n01_LICRNA05_D08,D08,60,LIC136,plant,t12,1/5/24,8:00,LIC_02,LICRNA_05
A2534491401_n01_LICRNA05_E08,E08,61,LIC148,plant,t13,1/15/24,8:00,LIC_02,LICRNA_05
A2534491401_n01_LICRNA05_F08,F08,62,LIC030,plant,t03,11/14/23,8:00,LIC_01,LICRNA_05
A2534491401_n01_LICRNA05_G08,G08,63,LIC079,plant,t07,12/1/23,8:00,LIC_01,LICRNA_05
A2534491401_n01_LICRNA05_H08,H08,64,LIC205,plant,t18,2/6/24,8:00,LIC_03,LICRNA_05
A2534491401_n01_LICRNA05_A09,A09,65,LIC162,plant,t14,1/23/24,8:00,LIC_02,LICRNA_05
A2534491401_n01_LICRNA05_B09,B09,66,LIC296,plant,t25,3/5/24,8:00,LIC_04,LICRNA_05
A2534491401_n01_LICRNA05_C09,C09,67,LIC253,plant,t22,2/23/24,8:00,LIC_03,LICRNA_05
A2534491401_n01_LICRNA05_D09,D09,68,LIC433,plant,c1_t05,2/10/24,12:00,LICCIRC_01,LICRNA_05
A2534491401_n01_LICRNA05_E09,E09,69,LIC344,plant,t24,3/1/24,8:00,LIC_04,LICRNA_05
A2534491401_n01_LICRNA05_F09,F09,70,LIC452,plant,c1_t06,2/10/24,16:00,LICCIRC_01,LICRNA_05
A2534491401_n01_LICRNA05_G09,G09,71,LIC517,plant,c1_t11,2/11/24,12:00,LICCIRC_02,LICRNA_05
A2534491401_n01_LICRNA05_H09,H09,72,LIC541,plant,c1_t13,2/11/24,20:00,LICCIRC_02,LICRNA_05
A2534491401_n01_LICRNA05_A10,A10,73,LIC577,plant,c2_t01,3/1/24,20:00,LICCIRC_03,LICRNA_05
A2534491401_n01_LICRNA05_B10,B10,74,LIC509,plant,c1_t10,2/11/24,8:00,LICCIRC_02,LICRNA_05
A2534491401_n01_LICRNA05_C10,C10,75,LIC632,plant,c2_t05,3/2/24,12:00,LICCIRC_03,LICRNA_05
A2534491401_n01_LICRNA05_D10,D10,76,LIC157,plant,t14,1/23/24,8:00,LIC_02,LICRNA_05
A2534491401_n01_LICRNA05_E10,E10,77,LIC486,plant,c1_t08,2/11/24,0:00,LICCIRC_02,LICRNA_05
A2534491401_n01_LICRNA05_F10,F10,78,LIC385,plant,c1_t01,2/9/24,20:00,LICCIRC_01,LICRNA_05
A2534491401_n01_LICRNA05_G10,G10,79,LIC482,plant,c1_t08,2/11/24,0:00,LICCIRC_02,LICRNA_05
A2534491401_n01_LICRNA05_H10,H10,80,LIC020,plant,t02,11/7/23,8:00,LIC_01,LICRNA_05
A2534491401_n01_LICRNA05_A11,A11,81,LIC506,plant,c1_t10,2/11/24,8:00,LICCIRC_02,LICRNA_05
A2534491401_n01_LICRNA05_B11,B11,82,LIC578,plant,c2_t01,3/1/24,20:00,LICCIRC_03,LICRNA_05
A2534491401_n01_LICRNA05_C11,C11,83,LIC148,plant,t13,1/15/24,8:00,LIC_02,LICRNA_05
A2534491401_n01_LICRNA05_D11,D11,84,LIC350,plant,t16,1/30/24,8:00,LIC_04,LICRNA_05
A2534491401_n01_LICRNA05_E11,E11,85,LIC013,plant,t02,11/7/23,8:00,LIC_01,LICRNA_05
A2534491401_n01_LICRNA05_F11,F11,86,LIC291,plant,t25,3/5/24,8:00,LIC_04,LICRNA_05
A2534491401_n01_LICRNA05_G11,G11,87,LIC055,plant,t05,11/21/23,8:00,LIC_01,LICRNA_05
A2534491401_n01_LICRNA05_H11,H11,88,LIC015,plant,t02,11/7/23,8:00,LIC_01,LICRNA_05
A2534491401_n01_LICRNA05_A12,A12,89,LIC295,plant,t25,3/5/24,8:00,LIC_04,LICRNA_05
A2534491401_n01_LICRNA05_B12,B12,90,LIC007,plant,t01,11/1/23,8:00,LIC_01,LICRNA_05
A2534491401_n01_LICRNA05_C12,C12,91,LIC004,plant,t01,11/1/23,8:00,LIC_01,LICRNA_05
A2534491401_n01_LICRNA05_D12,D12,92,LIC542,plant,c1_t13,2/11/24,20:00,LICCIRC_02,LICRNA_05
A2534491401_n01_LICRNA05_E12,E12,93,LIC495,plant,c1_t09,2/11/24,4:00,LICCIRC_02,LICRNA_05
A2534491401_n01_LICRNA05_F12,F12,94,LIC421,plant,c1_t04,2/10/24,8:00,LICCIRC_01,LICRNA_05
A2534491401_n01_LICRNA05_G12,G12,95,LIC493,plant,c1_t09,2/11/24,4:00,LICCIRC_02,LICRNA_05
A2534491401_n01_LICRNA05_H12,H12,96,LIC505,plant,c1_t10,2/11/24,8:00,LICCIRC_02,LICRNA_05